,Metadata_InChIKey,Metadata_JCP2022,SMILES
0,AAAHWCWPZPSPIW-UHFFFAOYSA-N,JCP2022_000001,CCc1nccn1-c1cccc(C2CCCN2C(=O)c2ccc(OCCN(C)C)cc2)n1
1,AAANUZMCJQUYNX-UHFFFAOYSA-N,JCP2022_000004,CCCn1nccc1S(=O)(=O)N1CC2CCC1CNC2
2,AAAUIKUIDRZZQT-UHFFFAOYSA-N,JCP2022_000008,CCC(C(O)=Nc1cccc(Cl)c1)N1C(=O)C(C)N=C(c2ccccc2)c2ccccc21
3,AAAZRMGPBSWFDK-UHFFFAOYSA-N,JCP2022_000009,NC(=O)c1ccsc1N=C(O)CN1CCN(S(=O)(=O)c2ccccc2C(F)(F)F)CC1
4,AABWDJVAAPACIC-UHFFFAOYSA-N,JCP2022_000017,CC1CCc2nc(N=C(O)c3ccc(=O)n(CC(O)=Nc4nccs4)c3)sc2C1
5,AACALNSOMDQMRY-UHFFFAOYSA-N,JCP2022_000020,Cc1cc(S(=O)(=O)N2CCN(c3ccccn3)CC2)ccc1F
6,AACIUCFYIFLIQS-UHFFFAOYSA-N,JCP2022_000023,COc1ccc(CN=C(O)N2CC(n3nccn3)C2)cc1
7,AACNFBWTGDBFJF-UHFFFAOYSA-N,JCP2022_000025,COc1ccc(S(=O)(=O)N2CCC(O)(c3ccc(Cl)cc3)CC2)cc1
8,AACUPBOYYILZEI-UHFFFAOYSA-N,JCP2022_000027,c1cc(CN2CCOCC2)cc(-c2noc(C3CC4CCC3O4)n2)c1
9,AACYMBJLWYXNNE-UHFFFAOYSA-N,JCP2022_000029,COc1cccc(C=C2CCn3c2nc(=O)c2ccccc23)c1OC
10,AADNEQWIZKTMBL-UHFFFAOYSA-N,JCP2022_000032,COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12
11,AADSIHHNLGCCMU-UHFFFAOYSA-N,JCP2022_000034,CCCCNCCOCCOc1c(Cl)cc(C)cc1Br
12,AADUPUNOQPEDGZ-UHFFFAOYSA-N,JCP2022_000035,O=C(NCc1cncc(-c2ccco2)c1)c1nc(-c2cccs2)cs1
13,AADWHZPNHCHIAB-UHFFFAOYSA-N,JCP2022_000037,Cc1cc(C)n2nc(N3CCNCC3)c(S(=O)(=O)c3ccccc3)c2n1
14,AAFATYSWBYJIIM-UHFFFAOYSA-N,JCP2022_000045,Cc1ccccc1N=c1[nH]c(CSc2ccc(F)cc2)nc(=N)[nH]1
15,AAFJXZWCNVJTMK-UHFFFAOYSA-N,JCP2022_000046,OC(C1CO1)C(O)C1CO1
16,AAFKDVLHOSJPIF-UHFFFAOYSA-N,JCP2022_000047,CCN(CCCN=C(O)c1ccc2c(c1)N=C(O)CS2)c1ccccc1
17,AAGJAKSHRMYXKC-UHFFFAOYSA-N,JCP2022_000055,CCN(CC(O)=NC(C)(C)C)C(=O)c1nn(-c2ccccc2)cc1OC
18,AAGUWZGVDYKPPY-UHFFFAOYSA-N,JCP2022_000057,COC(=O)c1n[nH]c(N=C(O)c2ccc(Cl)cc2Cl)n1
19,AAHBFIAFTLUMPU-UHFFFAOYSA-N,JCP2022_000059,COCc1ncc(C)n1CC1CCCN(S(C)(=O)=O)C1
20,AAHIWCACSYJONJ-UHFFFAOYSA-N,JCP2022_000060,OC(Cn1cncn1)=NC1CCCc2nc(-c3ccccc3)ncc21
21,AAHMGAQUWYRISL-UHFFFAOYSA-N,JCP2022_000061,CC(c1nc2ccccc2s1)N(C)C(=O)Cc1cccc(C(F)(F)F)c1
22,AAHNBILIYONQLX-UHFFFAOYSA-N,JCP2022_000062,COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1
23,AAHYIZAYSSTERZ-UHFFFAOYSA-N,JCP2022_000067,N#Cc1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)cc1
24,AAIFWFFSBJJYMC-UHFFFAOYSA-N,JCP2022_000068,Cc1nn(Cc2ccccc2)c(C)c1C(=O)N(C1=NC(C)CS1)c1ccc(Cl)cc1
25,AAIGMUXOZCXNJM-UHFFFAOYSA-N,JCP2022_000069,O=C1CCCN1c1ccc(Cl)c(N=C(O)Cc2noc3ccccc23)c1
26,AAIUKECGRQCWMS-UHFFFAOYSA-N,JCP2022_000072,COc1ccc(N2CC(c3noc(-c4cc(C)cc(C)c4)n3)CC2=O)cc1
27,AAJCSJBTNPXMQM-UHFFFAOYSA-N,JCP2022_000074,CC(C)(N=C(O)COc1ccccc1)C(=O)N1CCOCC(Cc2cccn3nccc23)C1
28,AAJJZYVCVBJKQY-UHFFFAOYSA-N,JCP2022_000077,COc1ccc(CNC(O)=NCCc2ccc(-c3ccoc3)s2)cc1OC
29,AAJKLERZBZRRIE-UHFFFAOYSA-N,JCP2022_000078,CN(Cc1cnn(-c2ccccc2)c1)C(C(=O)N1CCCC1)c1ccccc1
30,AAJMQTLFRTZCJK-UHFFFAOYSA-N,JCP2022_000079,CCC(=O)N1CCC(N=C(O)Nc2ccc(OC(F)(F)F)cc2)CC1
31,AAJRCFCIOLKWTK-UHFFFAOYSA-N,JCP2022_000081,Cc1cc(N2CCCCC2)nc(-c2ccccc2O)n1
32,AAJUAUAIVHRTHW-UHFFFAOYSA-N,JCP2022_000082,Cc1nc(=N)[nH]cc1C(S)=Nc1ccccc1
33,AAJUNGJCRPNMJH-UHFFFAOYSA-N,JCP2022_000083,COc1ccc(F)c(CN2CCCC3(CCN(C4CSCCSC4)C3)C2)c1
34,AAJVQBOCLJBIKS-UHFFFAOYSA-N,JCP2022_000084,O=C(Cn1nnc(-c2ccccc2Br)n1)N(Cc1ccccc1)C1CCS(=O)(=O)C1
